año,mes,linea,afluencia_total,afluencia_promedio_diaria
2018,7,Línea 3,17249209,26951.8890625
2025,10,Línea 8,10598228,18367.812824956673
2025,10,Línea 4,2342119,7704.338815789473
2025,12,Línea 8,9949543,17213.74221453287
2016,4,Línea 6,4270956,13141.403076923078
2026,1,Línea 7,6479325,16279.711055276382
2017,6,Línea 1,20746271,35403.19283276451
2026,3,Línea 7,6761451,17337.053846153845
2013,11,Línea 6,4381209,13439.291411042945
2020,3,Línea 1,15218530,25491.675041876046
2018,12,Línea 3,16473565,25780.226917057902
2016,4,Línea 2,23798267,33756.407092198584
2016,4,Línea A,8220187,27677.397306397306
2017,11,Línea A,8183739,27835.84693877551
2017,6,Línea A,8331827,28339.54761904762
2019,1,Línea B,12199168,19271.987361769352
2018,7,Línea A,7678640,25258.684210526317
2016,11,Línea 8,11494970,20563.45259391771
2019,11,Línea 4,2520498,8544.061016949152
2025,12,Línea A,6656329,21541.51779935275
2025,12,Línea 6,3157292,9424.75223880597
2020,3,Línea A,5772463,18988.365131578947
2019,11,Línea 6,4448990,13689.2
2018,12,Línea 5,6332576,16237.374358974359
2016,11,Línea 6,4114912,12700.345679012345
2026,3,Línea 6,3227051,9690.843843843844
2016,4,Línea 11,15411,15411.0
2018,12,Línea 9,8576491,23433.035519125682
2017,10,Línea 8,11777032,20235.450171821307
2026,1,Línea B,9319768,14983.549839228295
2013,11,Línea A,7384763,25203.969283276452
2017,11,Línea 2,23546001,33163.38169014084
2017,6,Línea 4,2511202,8455.225589225589
2025,12,Línea 1,13197052,21849.423841059604
2016,3,Línea 12,7237526,12042.472545757071
2020,3,Línea 5,4717188,12749.156756756756
2018,12,Línea 11,2102,2102.0
2025,12,Línea B,10616957,16745.988958990536
2019,1,Línea 7,8884453,20953.89858490566
2016,3,Línea B,13184338,20665.1065830721
2017,10,Línea 2,23630627,32282.27732240437
2013,11,Línea 8,11557110,20674.615384615383
2018,12,Línea 7,8065828,18714.218097447796
2017,6,Línea 11,47497,23748.5
2018,12,Línea 6,3786858,11510.20668693009
2026,3,Línea 3,14616818,22874.519561815338
2017,6,Línea 8,10824254,19294.570409982174
2016,4,Línea 3,19866302,32250.49025974026
2019,11,Línea A,7121861,23898.862416107382
2026,3,Línea 2,16100317,23066.356733524357
2016,3,Línea 11,73908,24636.0
2026,1,Línea 1,12713336,20944.54036243822
2025,10,Línea 2,19603839,26744.664392905866
2013,4,Línea 4,2373993,8074.806122448979
2026,1,Línea 2,16087813,22038.1
2019,1,Línea 9,8267867,22467.029891304348
2018,7,Línea 9,9070455,25336.46648044693
2026,3,Línea 12,10083443,16694.442052980132
2026,1,Línea 9,6826002,18752.752747252747
2016,11,Línea 5,7078378,18676.459102902376
2025,10,Línea 5,5028167,12633.585427135678
2016,11,Línea 1,21352518,36190.70847457627
2019,1,Línea 8,11008748,18980.6
2017,6,Línea 12,9871032,16674.04054054054
2018,12,Línea 12,9851609,16419.34833333333
2025,12,Línea 5,4606168,11544.280701754386
2013,4,Línea 8,10828019,19301.2816399287
2020,3,Línea 3,14926299,23432.18053375196
2019,1,Línea A,6447821,21002.674267100978
2025,12,Línea 9,7142505,19730.67679558011
2017,10,Línea 6,4516749,13523.200598802396
2013,11,Línea 5,7260794,18957.686684073105
2019,11,Línea 12,11932915,20225.27966101695
2025,10,Línea 9,8491801,23522.994459833793
2016,3,Línea 9,8312469,23154.509749303623
2020,3,Línea B,10179930,15831.928460342146
2026,3,Línea 8,9894386,17237.606271777004
2019,11,Línea 2,23028407,32525.998587570622
2025,12,Línea 3,13791933,21416.0450310559
2016,11,Línea 11,166464,41616.0
2019,11,Línea 5,6536639,17292.695767195768
2018,7,Línea 4,2370647,7721.977198697068
2020,3,Línea 4,2154094,7109.221122112212
2017,6,Línea 2,22517878,31985.622159090908
2018,12,Línea B,12644416,19787.818466353678
2017,10,Línea 4,2822008,9313.557755775577
2013,11,Línea 1,22681069,38638.959114139696
2016,4,Línea B,13430388,21696.91114701131
2025,10,Línea A,6843275,22510.77302631579
2019,11,Línea 8,11348504,20410.978417266186
2016,3,Línea 5,6331058,16150.658163265307
2013,11,Línea 7,8478337,20331.743405275778
2013,11,Línea 12,8676811,14731.427843803056
2026,3,Línea B,9924438,15555.545454545454
2013,4,Línea 5,7062325,18487.761780104713
2025,10,Línea 11,38898,19449.0
2013,11,Línea 9,11489937,32366.01971830986
2016,11,Línea 7,9000511,21687.978313253014
2020,3,Línea 9,7316816,19775.17837837838
2017,10,Línea 5,7647442,19263.07808564232
2019,1,Línea 6,4201133,12847.501529051988
2026,1,Línea 11,31657,15828.5
2018,7,Línea 11,2076,2076.0
2018,7,Línea 7,8772861,20402.002325581394
2016,3,Línea 3,16389519,25769.68396226415
2017,11,Línea 9,9350349,26639.17094017094
2018,7,Línea 5,6454106,16677.276485788112
2013,4,Línea 3,20669839,33884.98196721311
2013,11,Línea B,14429088,23197.890675241157
2019,11,Línea 9,8563609,24190.985875706214
2019,1,Línea 2,21923201,30280.664364640885
2019,1,Línea 11,37443,12481.0
2013,4,Línea 6,4193737,12785.783536585366
2026,1,Línea 5,4381003,10952.5075
2013,4,Línea B,13801053,22188.18810289389
2016,11,Línea 3,19587556,31695.07443365696
2016,11,Línea 12,9443271,15897.762626262625
2017,6,Línea 7,8732571,20891.31818181818
2017,6,Línea 5,7058158,18428.61096605744
2019,11,Línea 3,19435404,31347.425806451614
2025,10,Línea 1,11890674,22822.790786948175
2018,7,Línea 2,21538369,29585.671703296703
2018,12,Línea 2,21980466,30027.95901639344
2017,10,Línea 3,20420291,31807.306853582555
2013,11,Línea 4,2755546,9340.833898305085
2026,1,Línea 12,9538506,15535.026058631922
2017,6,Línea 6,4124730,12730.648148148148
2020,3,Línea 2,17043535,23411.449175824175
2016,3,Línea 2,20588140,28011.07482993197
2026,1,Línea 4,1981207,6453.442996742671
2025,12,Línea 4,2262036,7368.195439739414
2017,10,Línea 9,9860089,27013.942465753425
2026,3,Línea 5,4792408,12071.556675062971
2016,11,Línea A,8798713,29826.145762711865
2016,3,Línea 8,9950858,17245.854419410745
2026,3,Línea A,6497118,21657.06
2018,7,Línea B,11724434,18463.67559055118
2017,10,Línea B,13243861,20533.117829457366
